Legenda Storia,,,,
,,,,
per ongi META,,,,
,*RISULTATO,,,
,*A/D,,,
,*GENDER,,M/W,
,*#TOV,,,
,*IN CAMPO,,#GIOCATORE,
,,,,
,ASSIST,,,#Gioc
,META,,,#GIOC
,,,,
per ogni POSSESSO,,,,
,*SCHEMA NOI scelto/improvvisato,,,
,*TEMPI GIOCO ATTIVO,,,
,,,,
,SCHEMA LORO,,,
,,,,
per ogni ATLETA,,,,
SUPER,,,,
,SUPER,S,(generale),
,HUCK,K,,
,FLUSSO,F,,
,BUCO,O,,
,SKY,Y,,
,SWING,W,,
,SCAVALCO,V,,
,,,,
,ASSIST,A,,
,META,M,,
,,,,
,DIFESA,D,,
,HELP DIFESA,HD,,
MALE,,,,
,APERTO,E,,
,BUCO,B,,
,LUNGA,L,,
,,,,
,THROWAWAY,T,,
,BAD THROWAWAY,LT,,
,DROP,P,,